cardno,pin,value
174943770439,9777,5
197827564076,6563,5
209293460449,4580,5
188081367736,6594,5
191237122026,2238,5
125154336924,4602,5
168101825465,5861,5
237409550065,7893,5
179823004372,2868,5
157866566156,7702,5
145881301554,1449,5
169585042248,2194,5
106365139071,4294,5
164477933000,4220,5
247699045039,5655,5
226314154428,4971,5
193622256341,2569,5
229730303234,2481,5
201182376068,7497,5
240264574863,9301,5
247991954774,6821,5
164612419452,6810,5
147478570756,2491,5
146533589239,1049,5
209079603658,2124,5
113159572622,9625,5
190044250116,6473,5
203300689253,4982,5
115275670399,9573,5
103240375611,2793,5
220252293925,4119,5
192507257273,5462,5
171599420528,9341,5
109856036155,7595,5
227497716767,3006,5
158222508015,9526,5
186238036583,4047,5
247724219317,6017,5
247312211117,9589,5
136231581620,9472,5
107234638754,7687,5
216975937247,1402,5
194878242935,5410,5
192057713162,9209,5
204554724610,9109,5
196058990701,2787,5
163421689468,9653,5
140934980053,7498,5
120170500190,6535,5
125277511160,8911,5
196382363207,2297,5
214600463425,8046,5
180678656591,1166,5
204173475200,9196,5
115152048220,2965,5
103292539828,3597,5
235545858431,7084,5
217024229514,5912,5
158649956799,7513,5
152574068414,8589,5
196296312281,4370,5
133731201791,7922,5
204910242344,6149,5
107052591844,4461,5
198823573643,5773,5
244533525832,6994,5
224789977379,3703,5
205263726139,6120,5
216433098431,8526,5
228550083877,6488,5
193902813316,9798,5
152987868945,7618,5
176081272123,7412,5
246371255218,8149,5
227106996714,5522,5
122002979292,3932,5
201180436356,5757,5
201905626904,3358,5
162154926610,9165,5
114637455300,3082,5
180074881058,3972,5
217195588937,1369,5
155902594827,3530,5
166139534358,5240,5
111983916303,6209,5
189626180682,6424,5
134878717964,3762,5
245053456277,2586,5
166873555032,8392,5
231443270852,1340,5
214024965081,4277,5
157866566156,7702,5
175234849008,5398,5
249331929857,1092,5
186026764980,4100,5
118808370130,6050,5
123024767543,9261,5
238320092716,3856,5
163187648704,7115,5
237594696951,5223,5
216284471218,8235,5
193746177194,4327,5
174732721445,8519,5
108074649224,8240,5
183297638118,7719,5
220448039938,6310,5
199942140747,9361,5
119582914442,7162,5
154142241794,3747,5
113265673968,7133,5
117538452673,3693,5
118229569665,4926,5
177037995499,6496,5
196608221417,1999,5
158761932044,8813,5
144011463749,2976,5
227353075568,3478,5
233691969014,6324,5
102941604341,9780,5
234754175222,9245,5
180342564128,1409,5
140974810788,8860,5
113017050089,7263,5
107780115565,3852,5
206514101468,9889,5
170576499184,6155,5
207963067908,2731,5
167226161871,8806,5
198555648825,6458,5
166020512099,1617,5
142535697152,1499,5
196614338740,6128,5
168036533092,3551,5
227407725089,2685,5
134574519691,9705,5
140139730274,3263,5
183558086837,2879,5
205383640024,9401,5
148283413484,1078,5
240715120191,6533,5
120380643658,3844,5
236696525571,4128,5
119935081930,5736,5
114353751619,2584,5
106991701856,9338,5
155144413108,4499,5
116470852500,8449,5
228088106191,2429,5
125444447593,6191,5
234726042481,6839,5
